experiment_name,round_history,final_accuracy,final_loss,config_name,config_model_type,config_model_hidden_dim,config_model__original_n_features,config_data_partition_iid,config_aggregation_overrides_strategy,config_client_overrides_client_local_epochs,config_client_overrides_optimization_learning_rate,config_client_overrides_optimization_optimizer_name,config_server_overrides_server_num_rounds,config_server_overrides_client_management_num_clients,config_data_partition_alpha,config_client_overrides_regularization_proximal_mu,error,config_aggregation_overrides_strategies_FedDive_params_momentum,config_aggregation_overrides_strategies_FedDive_params_temperature,config_aggregation_overrides_strategies_FedDive_params_normalize_distances,config_model_quantum_features,config_model_n_qubits,config_model_n_layers,config_model_n_classes,config_model_output_dim,config_model_classical_hidden_dim
Iris_MLP_FedAvg_IID,"[{'round': 5, 'status': 'failed', 'error': 'No valid updates', 'successful_clients': 0, 'client_samples': [], 'total_samples': 0, 'duration_seconds': 0.34880661964416504, 'evaluation_metrics': {}}]",,,Iris_MLP_FedAvg_IID,classical_mlp,32.0,4,True,FedAvg,5,0.01,Adam,20,5,,,,,,,,,,,,
Iris_MLP_FedAvg_NonIID_a0.3,"[{'round': 5, 'status': 'failed', 'error': 'No valid updates', 'successful_clients': 0, 'client_samples': [], 'total_samples': 0, 'duration_seconds': 0.3579394817352295, 'evaluation_metrics': {}}]",,,Iris_MLP_FedAvg_NonIID_a0.3,classical_mlp,32.0,4,False,FedAvg,5,0.01,Adam,20,5,0.3,,,,,,,,,,,
Iris_MLP_FedProx_IID,"[{'round': 5, 'status': 'failed', 'error': 'No valid updates', 'successful_clients': 0, 'client_samples': [], 'total_samples': 0, 'duration_seconds': 0.2914762496948242, 'evaluation_metrics': {}}]",,,Iris_MLP_FedProx_IID,classical_mlp,32.0,4,True,FedProx,5,0.01,Adam,20,5,,0.01,,,,,,,,,,
Iris_MLP_FedDive_IID,[],,,Iris_MLP_FedDive_IID,classical_mlp,32.0,4,True,FedDive,5,0.01,Adam,20,5,,,Unsupported aggregation strategy: feddive,0.9,1.0,True,,,,,,
Iris_MLP_FedDive_NonIID_a0.3,[],,,Iris_MLP_FedDive_NonIID_a0.3,classical_mlp,32.0,4,False,FedDive,5,0.01,Adam,20,5,0.3,,Unsupported aggregation strategy: feddive,0.9,1.0,True,,,,,,
Iris_VQC_FedAvg_IID_PCA3,"[{'round': 5, 'status': 'success', 'error': None, 'successful_clients': 5, 'client_samples': [66, 66, 66, 66, 72], 'total_samples': 336, 'duration_seconds': 12.464473247528076, 'evaluation_metrics': {'accuracy': 1.0, 'loss': None}}]",1.0,,Iris_VQC_FedAvg_IID_PCA3,vqc,,4,True,FedAvg,3,0.05,,15,5,,,,,,,3.0,3.0,2.0,3.0,,
Iris_VQC_FedAvg_NonIID_a0.3,"[{'round': 5, 'status': 'success', 'error': None, 'successful_clients': 5, 'client_samples': [66, 66, 66, 66, 72], 'total_samples': 336, 'duration_seconds': 12.1897451877594, 'evaluation_metrics': {'accuracy': 1.0, 'loss': None}}]",1.0,,Iris_VQC_FedAvg_NonIID_a0.3,vqc,,4,False,FedAvg,3,0.05,,15,5,0.3,,,,,,3.0,3.0,2.0,3.0,,
Iris_VQC_FedDive_IID_PCA3,[],,,Iris_VQC_FedDive_IID_PCA3,vqc,,4,True,FedDive,3,0.05,,15,5,,,Unsupported aggregation strategy: feddive,0.5,0.5,True,3.0,3.0,2.0,3.0,,
Iris_VQC_FedProx_IID_PCA3,"[{'round': 5, 'status': 'success', 'error': None, 'successful_clients': 5, 'client_samples': [66, 66, 66, 66, 72], 'total_samples': 336, 'duration_seconds': 11.99953293800354, 'evaluation_metrics': {'accuracy': 1.0, 'loss': None}}]",1.0,,Iris_VQC_FedProx_IID_PCA3,vqc,,4,True,FedProx,3,0.05,,15,5,,0.01,,,,,3.0,3.0,2.0,3.0,,
Iris_QNN_FedAvg_IID_PCA3,"[{'round': 5, 'status': 'success', 'error': None, 'successful_clients': 5, 'client_samples': [66, 66, 66, 66, 72], 'total_samples': 336, 'duration_seconds': 5.03363299369812, 'evaluation_metrics': {'loss': 1.1338604658184477, 'accuracy': 0.4473684210526316}}]",0.4473684210526316,1.1338604658184477,Iris_QNN_FedAvg_IID_PCA3,qnn,,4,True,FedAvg,3,0.01,Adam,15,5,,,,,,,3.0,3.0,2.0,,3.0,
Iris_Hybrid_FedAvg_IID_PCA3,[],,,Iris_Hybrid_FedAvg_IID_PCA3,hybrid,,4,True,FedAvg,3,0.01,Adam,15,5,,,mat1 and mat2 shapes cannot be multiplied (38x3 and 4x8),,,,3.0,3.0,1.0,,,8.0
Iris_Hybrid_FedDive_IID_PCA3,[],,,Iris_Hybrid_FedDive_IID_PCA3,hybrid,,4,True,FedDive,3,0.01,Adam,15,5,,,Unsupported aggregation strategy: feddive,0.9,,True,3.0,3.0,1.0,,,8.0
